name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
"CERAMICA ALCALAINA","CERAMICA ALCALAINA, S.C.L.",,,"Camarma de Esteruelas",ES,0.999,"Natural gas",,,2008,,,,,"Fossil fuels","Natural gas",,,,SEDE
VILAFRUNS,"SANTASUSANA DE INVERSIONES, S.A.",,,Balsareny,ES,0.29,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"ESCLUSA 14","GREGORIO ALVARO DELGADO",,,"Melgar de Fernamental",ES,0.225,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"CARTONAJES LA PLANA, S.L.","CARTONAJES LA PLANA, S.L.",,,Betxi,ES,0.999,"Natural gas",,,2012,,,,,"Fossil fuels","Natural gas",,,,SEDE
BENFERRI,"COMUNIDAD DE REGANTES DE BENFERRI",,,Benferri,ES,0.783,Oil,,,,,,,,"Fossil fuels",Oil,,,,SEDE
POSADAS,"HERMANOS CAMPO MARIN, C.B",,,Ezcaray,ES,0.311,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
LARDERO,"AYUNTAMIENTO DE LOGRONO",,,Lardero,ES,0.81,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"COG. MADERAS ORNANDA","MADERAS ORNANDA, S.A.",,,"Porto do Son",ES,0.495,Oil,,,2011,,,,,"Fossil fuels",Oil,,,,SEDE
"PLASTICOS ENERGIA","PLASTICOS ENERGIA, S.L.",,,Paiporta,ES,3.495,Oil,,,,,,,,"Fossil fuels",Oil,,,,SEDE
"EL PISON","TURBINOR, S.L.",,,"Alar del Rey",ES,0.08,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"GALLETAS GULLON FABRICA 1","GALLETAS GULLON, S.A.",,,"Aguilar de Campoo",ES,3.884,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"CENTRAL HIDROELECTRICA DE HUESNA","CONFEDERACION HIDROGRAFICA GUADALQUIVIR",,,"Pedroso (El)",ES,0.9,Hydro,,,1999,,,,,"Renewable energy",Hydro,,,,SEDE
MUGAIRE,"MARIN MUGAIRE, S.L.",,,Baztan,ES,0.88,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"SALTO ETXALAR","REYSALDE, S.L.",,,Etxalar,ES,1.6,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"POMPEYO CRIADO","POMPEYO CRIADO, S.A.",,,Bunol,ES,1.6,Oil,,,,,,,,"Fossil fuels",Oil,,,,SEDE
"CERAMICAS ALONSO","CERAMICAS ALONSO, S.L.",,,"Aielo de Rugat",ES,1.32,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"GUIXERS (POT. LIMITADA A 620 KW)","SALVADOR SERRA, S.A.",,,Guixers,ES,1.379,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"COGENERACION HERMANOS DIAZ REDONDO","HERMANOS DIAZ REDONDO, S.A.",,,Cobeja,ES,0.999,"Natural gas",,,1997,,,,,"Fossil fuels","Natural gas",,,,SEDE
"C.H. EL BORRAS","MAS RIGOLISA, SL",,,"Castellbell i el Vilar",ES,0.54,Hydro,,,1989,,,,,"Renewable energy",Hydro,,,,SEDE
BELFINTEX,"BELFINTEX,S.A.",,,Rubi,ES,0.645,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
GUIMERA,"LA PAPELERA DEL FRESSER,S.A.",,,"Ribes de Freser",ES,0.064,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
GUISSONA-LERIDA,"CORPORACION ALIMENTARIA GUISSONA, S.A.",,,Lleida,ES,6.88,Oil,,,,,,,,"Fossil fuels",Oil,,,,SEDE
"CAN BORRAS","SIMAPRO, S.L.",,,"Sant Joan de Vilatorrada",ES,0.08,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"LA PLANA","BENJAC, S.A.",,,Camarasa,ES,5,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"SANT JAUME DE LLIERCA","COPAJO,S.L.",,,"Sant Jaume de Llierca",ES,0.21,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"KAO CO(NUEVA FECHA INSCRIP. POR MODIF. SUSTANCIAL)","KAO CORPORATION, S.A.",,,"Mollet del Valles",ES,4.227,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"CH CAL GAT","ALPAPAT, SL",,,"Sant Joan de les Abadesses",ES,0.6,Hydro,,,1983,,,,,"Renewable energy",Hydro,,,,SEDE
"LA PUDA","INTERNAICA, S.L.",,,"Coma i la Pedra (La)",ES,0.4,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"CERAMICA VIVES","CERAMICA VIVES,S.A.",,,"Alcora (l)",ES,3.8,"Other or unspecified energy sources",,,,,,,,"Other or unspecified energy sources",,,,,SEDE
ELKORRI,"ELKORRI,S.A.",,,Aranjuez,ES,0.54,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"MOLINO DE AUSIN","HIDROELECTRICA PALENTINA, S.A.",,,Torquemada,ES,1.882,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
NOFUENTES,"SALTOS DEL NORTE, S.L.",,,"Merindad de Cuesta-Urria",ES,0.4,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"TRANCO DEL DIABLO","AYUNTAMIENTO DE BEJAR",,,Bejar,ES,0.8,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
